País,Cliques,Impressões,CTR,Posição
Brasil,5,355,1.41%,10.25
Estados Unidos,0,11,0%,6.18
Portugal,0,3,0%,9.33
Argentina,0,2,0%,7.5
Austrália,0,1,0%,1
África do Sul,0,1,0%,1
Alemanha,0,1,0%,2
Peru,0,1,0%,2
França,0,1,0%,3
Reino Unido,0,1,0%,4
Áustria,0,1,0%,5
Turquia,0,1,0%,5
Bielorrússia,0,1,0%,8
Canadá,0,1,0%,41
