Data,Cliques,Impressões,CTR,Posição
2026-01-19,0,0,,
2026-01-20,0,4,0%,7.8
2026-01-21,0,29,0%,20.2
2026-01-22,0,28,0%,15.9
2026-01-23,0,5,0%,8.8
2026-01-24,0,6,0%,5.8
2026-01-25,1,28,3.57%,8
2026-01-26,2,32,6.25%,9.2
2026-01-27,0,39,0%,8.7
2026-01-28,0,34,0%,9.9
2026-01-29,0,29,0%,10.4
2026-01-30,0,29,0%,9.4
2026-01-31,1,50,2%,6.3
2026-02-01,1,30,3.33%,8.7
2026-02-02,0,38,0%,8.8
